1、家庭人员

aunt	姨母；姨母 姑母；伯母；婶母
brother	兄；弟
cousin	堂（表）兄弟；堂（表）姐妹
couple	夫妇
dad（daddy）	爸爸
daughter	女儿
family	家；家庭；家人；亲属；家族
father	爸爸；父亲
grandchild	孙子/女，外孙子/孙女
granddaughger	孙女，外孙女
grandfather	祖父；外祖父
grandma	（口）奶奶；外婆
grandmother	祖母；外祖母
grandpa	（口）爷爷；外公
grandparent	祖父母；外祖父母
grandson	孙子，外孙子
granny	老奶奶
husband	丈夫
Mom(美Mum)	妈妈
mother	母亲；妈妈
parent	父母亲
relation	关系；亲属关系
sister	姐；妹
son	儿子
uncle	叔；伯；舅；姨夫；姑夫
wife	（pl. wives）妻子

2、职业职务


boss	老板
captain	船长，队长
chairman/woman	主席
coach	教练；
cook	厨师
dentist	牙医
director	主管，负责人
doctor	医生
driver	驾驶员；司机
engineer	工程师
farmer	农民
fisherman	渔民；渔夫（pl. fishermen）
guard	看守，卫兵
king	国王
leader	领导者；指挥者
manager	经理，管理人
monitor	（班级内的）班长，纠察生；
nurse	护士，保育员
officer	军官；公务员，官员；警察，警官
pilot	飞行员
police	巡警；警察
policeman(policewoman)	警察
postman	邮递员
president	总统
pupil	(小）学生
queen	女王；王后
scientist	科学家
servant	佣人，仆人
secretary	秘书
soldier	士兵，战士
speaker	演讲人；演说家
student	学生
teacher	教师，教员
worker	工人；工作者

3、家庭物品

basket	篮子
bed	床
box	盒子，箱子
bottle	瓶子
brush	刷子
chair	椅子
can	(美）罐头，罐子
candle	蜡烛
clock	钟
cover	盖子，罩
desk	书桌；办公桌
drawer	抽屉
furniture	家具
handbag	手提包
iron	熨斗
key	钥匙，键
lamp	灯
lock	锁
mirror	镜子
photo=photograph	照片
picture	图片,画片，照片
rope	粗绳；绳索
rubbish	垃圾；废物
safe	保险箱
shelf	架子(复shelves)
shower	淋浴
soap	肥皂
sofa	沙发
stick	木棍；手杖；枝条
table	桌子
thing	事；东西，物（复数）局面；
thread	线
toothbrush	牙刷
toothpaste	牙膏
towel	浴巾，毛巾
umbrella	雨伞；伞
watch	手表


4、文具与玩具


bag	书包；提包；口袋
ball	球
balloon	气球
card	纸牌
chess	棋
crayon	蜡笔
diary	日记；日记簿
dictionary	字典，词典
doll	玩偶，玩具娃娃
eraser	橡皮
gift	礼物；赠品
gun	枪
